January,February,March,April,May,June,July,August,September,October,November,December
5,12,4,8,8,15,18,18,20,15,10,2
8,9,6,6,11,12,16,18,21,14,8,2
7,6,6,14,12,12,16,20,21,13,7,4
8,6,6,13,10,14,18,19,20,14,6,2
7,9,4,12,13,16,18,18,17,12,8,4
8,10,5,11,16,18,17,18,20,10,6,6
8,9,4,8,18,20,20,22,21,10,2,6
6,9,4,10,20,18,22,18,20,12,4,6
6,8,6,8,18,16,22,16,19,10,6,6
6,4,6,9,16,17,24,14,20,10,8,4
6,6,6,12,16,18,20,16,22,8,5,8
6,3,6,10,15,16,18,20,24,8,2,3
4,6,6,12,18,15,15,20,28,8,6,6
4,5,4,12,10,16,16,20,24,10,6,6
3,4,6,12,9,16,16,20,18,12,10,6
2,2,4,12,11,15,20,22,18,15,12,8
2,2,6,6,12,16,22,22,15,14,12,3
2,1,5,8,13,15,22,20,16,12,9,2
2,4,5,10,12,16,26,20,16,10,6,4
3,8,5,12,16,16,26,20,17,10,10,4
0,11,6,14,18,19,21,18,16,11,14,4
3,10,8,13,14,23,20,22,17,9,10,6
6,6,6,8,12,26,21,24,18,8,11,4
7,4,8,4,11,20,20,28,18,11,10,7
10,4,10,6,12,17,23,28,16,12,8,9
9,4,10,6,15,16,18,26,14,10,8,7
10,4,10,6,18,18,19,26,17,12,6,4
6,3,10,6,18,18,20,23,20,12,3,4
6,4,10,9,16,18,22,21,18,12,0,2
8,,8,8,12,18,20,19,15,12,2,2
10,,6,,13,,20,21,,12,,3
