canton-name,canton-id,2018,2019
Zürich,ZH,50,28
Bern/Berne,BE,56,52
Luzern,LU,32,35
Uri,UR,53,34
Schwyz,SZ,46,57
Obwalden,OW,33,34
Nidwalden,NW,35,35
Glarus,GL,34,38
Zug,ZG,46,26
Fribourg,FR,35,38
Solothurn,SO,50,28
Basel-Stadt,BS,49,55
Basel-Landschaft,BL,52,30
Schaffhausen,SH,23,27
Appenzell Ausserrhoden,AR,34,51
Appenzell Innerrhoden,AI,46,57
St. Gallen,SG,43,36
Graubünden/Grigioni,GR,38,42
Aargau,AG,31,29
Thurgau,TG,38,40
Ticino,TI,53,46
Vaud,VD,38,53
Valais/Wallis,VS,51,25
Neuchâtel,NE,54,35
Genève,GE,20,62
Jura,JU,33,27
