,GEO.id,GEO.id2,GEO.display-label,hucen42010,hubase42010,huest72010,huest72011,huest72012,huest72013,huest72014,huest72015,huest72016
2524,0500000US48001,48001,"Anderson County, Texas",20116,20115,20117,20115,20120,20122,20138,20157,20176
2525,0500000US48003,48003,"Andrews County, Texas",5814,5814,5823,5884,5937,5985,6040,6193,6213
2526,0500000US48005,48005,"Angelina County, Texas",35589,35589,35598,35685,36069,36119,36204,36314,36387
2527,0500000US48007,48007,"Aransas County, Texas",15355,15355,15374,15443,15491,15563,15674,15843,16017
2528,0500000US48009,48009,"Archer County, Texas",4107,4107,4109,4116,4123,4125,4130,4139,4145
2529,0500000US48011,48011,"Armstrong County, Texas",904,904,904,903,902,901,901,900,900
2530,0500000US48013,48013,"Atascosa County, Texas",17631,17631,17636,17648,17705,17765,17841,17927,17988
2531,0500000US48015,48015,"Austin County, Texas",12926,12925,12932,12941,12952,12969,13002,13036,13061
2532,0500000US48017,48017,"Bailey County, Texas",2784,2784,2784,2780,2780,2782,2783,2781,2779
2533,0500000US48019,48019,"Bandera County, Texas",11561,11560,11562,11561,11568,11579,11601,11628,11652
2534,0500000US48021,48021,"Bastrop County, Texas",29316,29311,29318,29336,29416,29474,29593,29798,29960
2535,0500000US48023,48023,"Baylor County, Texas",2665,2665,2664,2661,2658,2655,2653,2651,2650
2536,0500000US48025,48025,"Bee County, Texas",10649,10649,10649,10648,10650,10654,10656,10668,10676
2537,0500000US48027,48027,"Bell County, Texas",125470,125476,125966,127685,129559,131752,133764,135684,137649
2538,0500000US48029,48029,"Bexar County, Texas",662872,662873,663603,667067,671003,675706,678060,684120,687624
2539,0500000US48031,48031,"Blanco County, Texas",5532,5536,5541,5559,5562,5590,5684,5729,5743
2540,0500000US48033,48033,"Borden County, Texas",385,385,385,385,385,385,385,385,385
2541,0500000US48035,48035,"Bosque County, Texas",9623,9621,9621,9623,9624,9625,9633,9642,9653
2542,0500000US48037,48037,"Bowie County, Texas",38493,38493,38533,38678,38958,39064,39137,39239,39521
2543,0500000US48039,48039,"Brazoria County, Texas",118336,118324,118816,120495,122189,124308,126234,129493,132653
2544,0500000US48041,48041,"Brazos County, Texas",77700,77705,77883,78747,80075,81943,83482,85213,86775
2545,0500000US48043,48043,"Brewster County, Texas",5383,5383,5386,5396,5408,5418,5430,5443,5455
2546,0500000US48045,48045,"Briscoe County, Texas",953,953,953,953,953,953,953,953,953
2547,0500000US48047,48047,"Brooks County, Texas",3239,3239,3239,3238,3235,3233,3232,3232,3231
2548,0500000US48049,48049,"Brown County, Texas",18287,18287,18305,18334,18364,18391,18467,18528,18635
2549,0500000US48051,48051,"Burleson County, Texas",8832,8831,8834,8837,8847,8884,8905,8927,8948
2550,0500000US48053,48053,"Burnet County, Texas",20870,20845,20896,21042,21148,21293,21473,21730,22031
