GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0500000US48001,48001,"Anderson County, Texas",58458,58458,58482,58350,58019,57894,57725,57487,57734
0500000US48003,48003,"Andrews County, Texas",14786,14786,14835,15390,16107,16776,17405,18026,17760
0500000US48005,48005,"Angelina County, Texas",86771,86771,86915,87275,87520,87409,87628,87938,87791
0500000US48007,48007,"Aransas County, Texas",23158,23158,23199,23354,23665,24124,24872,25261,25721
0500000US48009,48009,"Archer County, Texas",9054,9055,9108,8832,8785,8760,8793,8711,8703
0500000US48011,48011,"Armstrong County, Texas",1901,1901,1899,1931,1945,1954,1937,1925,1876
0500000US48013,48013,"Atascosa County, Texas",44911,44911,44963,45486,46455,47078,47787,48435,48797
0500000US48015,48015,"Austin County, Texas",28417,28411,28378,28589,28547,28709,28973,29548,29758
0500000US48017,48017,"Bailey County, Texas",7165,7165,7153,7197,7134,7138,6970,7232,7181
0500000US48019,48019,"Bandera County, Texas",20485,20485,20549,20544,20607,20599,20875,21216,21776
0500000US48021,48021,"Bastrop County, Texas",74171,74159,74326,75050,74738,75850,77899,80208,82733
0500000US48023,48023,"Baylor County, Texas",3726,3726,3716,3715,3618,3610,3600,3671,3697
0500000US48025,48025,"Bee County, Texas",31861,31861,31883,32318,32448,32773,32884,32673,32750
0500000US48027,48027,"Bell County, Texas",310235,310244,312985,316111,323105,326620,329348,334812,340411
0500000US48029,48029,"Bexar County, Texas",1714773,1714774,1723006,1755342,1788530,1822056,1858749,1895482,1928680
0500000US48031,48031,"Blanco County, Texas",10497,10499,10510,10578,10641,10652,10836,11067,11392
0500000US48033,48033,"Borden County, Texas",641,641,643,628,613,637,653,641,633
0500000US48035,48035,"Bosque County, Texas",18212,18212,18259,18253,18118,17880,17761,17910,18097
0500000US48037,48037,"Bowie County, Texas",92565,92565,92678,92890,93136,93457,93458,93503,93860
0500000US48039,48039,"Brazoria County, Texas",313166,313127,314502,319258,324373,330091,337777,345661,354195
0500000US48041,48041,"Brazos County, Texas",194851,194861,195695,197477,200247,204124,208823,215867,220417
0500000US48043,48043,"Brewster County, Texas",9232,9232,9270,9354,9243,9273,9123,9099,9200
0500000US48045,48045,"Briscoe County, Texas",1637,1637,1631,1649,1566,1547,1537,1504,1474
0500000US48047,48047,"Brooks County, Texas",7223,7223,7202,7218,7189,7238,7233,7212,7214
0500000US48049,48049,"Brown County, Texas",38106,38106,38116,38026,37852,37853,37719,37981,38271
0500000US48051,48051,"Burleson County, Texas",17187,17187,17216,17242,17329,17178,17292,17525,17760
0500000US48053,48053,"Burnet County, Texas",42750,42707,42743,43353,43506,43738,44254,45181,46243
0500000US48055,48055,"Caldwell County, Texas",38066,38057,38105,38424,38699,39207,39728,40445,41161
0500000US48057,48057,"Calhoun County, Texas",21381,21381,21327,21353,21573,21759,21805,21922,21965
0500000US48059,48059,"Callahan County, Texas",13544,13544,13519,13540,13516,13526,13523,13596,13820
0500000US48061,48061,"Cameron County, Texas",406220,406219,407629,412937,415445,417260,419191,419893,422135
0500000US48063,48063,"Camp County, Texas",12401,12401,12414,12409,12467,12440,12659,12721,12867
0500000US48065,48065,"Carson County, Texas",6182,6182,6164,6268,6109,5981,6015,5972,6057
0500000US48067,48067,"Cass County, Texas",30464,30464,30429,30505,30205,30413,30351,30387,30375
0500000US48069,48069,"Castro County, Texas",8062,8062,8110,8053,8187,8027,7816,7678,7669
0500000US48071,48071,"Chambers County, Texas",35096,35099,35428,35625,36408,37221,38063,38768,39899
0500000US48073,48073,"Cherokee County, Texas",50845,50834,50915,51013,51200,50981,51007,51431,51668
0500000US48075,48075,"Childress County, Texas",7041,7041,7062,7017,7089,7046,7059,7050,7052
0500000US48077,48077,"Clay County, Texas",10752,10752,10733,10679,10513,10449,10356,10324,10193
0500000US48079,48079,"Cochran County, Texas",3127,3127,3138,3074,3021,3000,2925,2945,2882
0500000US48081,48081,"Coke County, Texas",3320,3319,3320,3280,3218,3196,3232,3230,3264
0500000US48083,48083,"Coleman County, Texas",8895,8895,8878,8762,8677,8534,8417,8333,8420
0500000US48085,48085,"Collin County, Texas",782341,782459,788741,814607,837229,858098,885175,913079,939585
0500000US48087,48087,"Collingsworth County, Texas",3057,3057,3055,3094,3022,3096,3008,3019,3016
0500000US48089,48089,"Colorado County, Texas",20874,20874,20883,20789,20684,20706,20669,20880,21019
0500000US48091,48091,"Comal County, Texas",108472,108471,109294,112047,115005,118776,123487,129113,134788
0500000US48093,48093,"Comanche County, Texas",13974,13961,13950,13871,13705,13539,13436,13365,13484
0500000US48095,48095,"Concho County, Texas",4087,4087,4097,4137,4073,4119,4085,4155,4279
0500000US48097,48097,"Cooke County, Texas",38437,38437,38456,38408,38771,38502,38739,39110,39266
0500000US48099,48099,"Coryell County, Texas",75388,75388,75589,76593,76837,76116,75442,75471,74686
0500000US48101,48101,"Cottle County, Texas",1505,1505,1506,1511,1485,1448,1432,1431,1402
0500000US48103,48103,"Crane County, Texas",4375,4375,4381,4365,4562,4756,4928,5039,4830
0500000US48105,48105,"Crockett County, Texas",3719,3719,3709,3671,3717,3763,3796,3742,3675
0500000US48107,48107,"Crosby County, Texas",6059,6056,6042,6089,6097,5978,5883,5985,5992
0500000US48109,48109,"Culberson County, Texas",2398,2398,2399,2379,2309,2295,2260,2233,2198
0500000US48111,48111,"Dallam County, Texas",6703,6700,6742,6831,6978,7022,7096,7107,7056
0500000US48113,48113,"Dallas County, Texas",2368139,2366672,2372450,2407305,2452421,2479810,2512281,2545775,2574984
0500000US48115,48115,"Dawson County, Texas",13833,13833,13836,13785,13647,13254,13500,13075,13111
0500000US48117,48117,"Deaf Smith County, Texas",19372,19372,19445,19475,19327,19136,19096,18807,18830
0500000US48119,48119,"Delta County, Texas",5231,5231,5238,5202,5301,5188,5213,5215,5215
0500000US48121,48121,"Denton County, Texas",662614,662387,666736,685376,707475,728282,752820,778491,806180
0500000US48123,48123,"DeWitt County, Texas",20097,20097,20057,20320,20478,20495,20674,20786,20865
0500000US48125,48125,"Dickens County, Texas",2444,2441,2441,2395,2315,2283,2205,2197,2184
0500000US48127,48127,"Dimmit County, Texas",9996,9996,10037,10096,10487,10906,11026,10995,10794
0500000US48129,48129,"Donley County, Texas",3677,3728,3731,3684,3651,3566,3503,3407,3405
0500000US48131,48131,"Duval County, Texas",11782,11782,11721,11797,11586,11606,11530,11399,11428
0500000US48133,48133,"Eastland County, Texas",18583,18583,18589,18574,18408,18231,18212,18133,18274
0500000US48135,48135,"Ector County, Texas",137130,137136,137083,139689,144513,149651,154570,159689,157462
0500000US48137,48137,"Edwards County, Texas",2002,2002,1998,1972,1974,1881,1892,1911,1911
0500000US48139,48139,"Ellis County, Texas",149610,149597,150365,152364,153730,156093,159328,163474,168499
0500000US48141,48141,"El Paso County, Texas",800647,800647,803641,819471,830853,831218,834190,833783,837918
0500000US48143,48143,"Erath County, Texas",37890,37900,37896,39003,39488,40012,40668,41379,41659
0500000US48145,48145,"Falls County, Texas",17866,17863,17878,17831,17554,17201,17141,17158,17273
0500000US48147,48147,"Fannin County, Texas",33915,33910,33908,33922,33695,33655,33762,33640,34031
0500000US48149,48149,"Fayette County, Texas",24554,24554,24529,24756,24706,24783,24863,25046,25149
0500000US48151,48151,"Fisher County, Texas",3974,3974,3954,3958,3840,3846,3843,3853,3854
0500000US48153,48153,"Floyd County, Texas",6446,6446,6405,6398,6372,6275,5977,5901,5917
0500000US48155,48155,"Foard County, Texas",1336,1336,1338,1360,1310,1277,1268,1215,1183
0500000US48157,48157,"Fort Bend County, Texas",585375,584703,590433,606962,625796,653252,684646,713849,741237
0500000US48159,48159,"Franklin County, Texas",10605,10603,10597,10532,10609,10563,10522,10553,10607
0500000US48161,48161,"Freestone County, Texas",19816,19817,19810,19590,19431,19553,19622,19693,19624
0500000US48163,48163,"Frio County, Texas",17217,17217,17245,17479,17876,18257,18693,18930,18956
0500000US48165,48165,"Gaines County, Texas",17526,17526,17570,18014,18377,18895,19400,20276,20478
0500000US48167,48167,"Galveston County, Texas",291309,291303,292529,295596,301067,306693,313698,321538,329431
0500000US48169,48169,"Garza County, Texas",6461,6461,6468,6578,6450,6401,6418,6383,6442
0500000US48171,48171,"Gillespie County, Texas",24837,24837,24877,25032,25167,25354,25545,26074,26521
0500000US48173,48173,"Glasscock County, Texas",1226,1226,1231,1231,1259,1243,1297,1333,1314
0500000US48175,48175,"Goliad County, Texas",7210,7210,7223,7204,7329,7446,7496,7526,7517
0500000US48177,48177,"Gonzales County, Texas",19807,19807,19792,19749,19910,20138,20372,20554,20876
0500000US48179,48179,"Gray County, Texas",22535,22535,22458,22581,22834,22926,23420,23236,22725
0500000US48181,48181,"Grayson County, Texas",120877,120864,121037,121274,121636,122249,123500,125537,128235
0500000US48183,48183,"Gregg County, Texas",121730,121764,122010,122445,122835,123043,122967,123827,123745
0500000US48185,48185,"Grimes County, Texas",26604,26568,26615,26687,26703,26835,27075,27418,27671
0500000US48187,48187,"Guadalupe County, Texas",131533,131537,132564,135869,139741,143164,147230,151164,155265
0500000US48189,48189,"Hale County, Texas",36273,36229,36300,36387,36284,35751,34537,34201,34263
0500000US48191,48191,"Hall County, Texas",3353,3353,3352,3316,3280,3183,3094,3114,3138
0500000US48193,48193,"Hamilton County, Texas",8517,8517,8490,8411,8289,8267,8173,8127,8304
0500000US48195,48195,"Hansford County, Texas",5613,5613,5602,5581,5529,5548,5538,5607,5538
0500000US48197,48197,"Hardeman County, Texas",4139,4139,4155,4127,4062,4014,3929,3851,3906
0500000US48199,48199,"Hardin County, Texas",54635,54635,54808,55046,55114,55342,55539,55804,56322
0500000US48201,48201,"Harris County, Texas",4092459,4093242,4108308,4179717,4259206,4346883,4441928,4533341,4589928
0500000US48203,48203,"Harrison County, Texas",65631,65629,65708,66364,66283,66218,66514,66606,66534
0500000US48205,48205,"Hartley County, Texas",6062,6062,6054,6083,6152,6059,6111,5761,5747
0500000US48207,48207,"Haskell County, Texas",5899,5899,5880,5978,5907,5918,5782,5774,5681
0500000US48209,48209,"Hays County, Texas",157107,157089,158241,163209,168408,176029,184951,194574,204470
0500000US48211,48211,"Hemphill County, Texas",3807,3807,3796,3951,4070,4125,4161,4270,4129
0500000US48213,48213,"Henderson County, Texas",78532,78534,78654,78692,78951,78600,79196,79416,79901
0500000US48215,48215,"Hidalgo County, Texas",774769,774770,779150,794682,806388,817039,829088,839314,849843
0500000US48217,48217,"Hill County, Texas",35089,35085,35127,35162,35083,34784,34713,34846,35077
0500000US48219,48219,"Hockley County, Texas",22935,22927,22849,22979,23108,23477,23565,23461,23275
0500000US48221,48221,"Hood County, Texas",51182,51168,51276,51484,52127,52893,53863,55344,56857
0500000US48223,48223,"Hopkins County, Texas",35161,35161,35201,35314,35391,35414,35840,36177,36400
0500000US48225,48225,"Houston County, Texas",23732,23732,23692,23370,23143,22738,22701,22675,22754
0500000US48227,48227,"Howard County, Texas",35012,35012,35010,34991,35490,36196,36517,37202,36708
0500000US48229,48229,"Hudspeth County, Texas",3476,3476,3467,3417,3351,3331,3243,3425,4053
0500000US48231,48231,"Hunt County, Texas",86129,86161,86370,86790,87117,87556,88748,89847,92073
0500000US48233,48233,"Hutchinson County, Texas",22150,22249,22203,21985,21960,21844,21840,21755,21511
0500000US48235,48235,"Irion County, Texas",1599,1599,1610,1603,1573,1601,1567,1546,1557
0500000US48237,48237,"Jack County, Texas",9044,9044,9013,9048,8999,8905,8857,8823,8744
0500000US48239,48239,"Jackson County, Texas",14075,14075,14078,14040,14279,14637,14758,14846,14869
0500000US48241,48241,"Jasper County, Texas",35710,35710,35799,36242,35859,35673,35560,35460,35648
0500000US48243,48243,"Jeff Davis County, Texas",2342,2342,2345,2297,2303,2223,2199,2179,2200
