country,year,attacks,killed
Germany,1990,1,0.0
Germany,1991,64,10.0
Germany,1992,154,17.0
Germany,1994,79,2.0
Germany,1995,132,10.0
Germany,1996,52,1.0
Germany,1997,12,0.0
Germany,1998,3,0.0
Germany,1999,12,3.0
Germany,2000,8,1.0
Germany,2001,8,3.0
Germany,2002,3,0.0
Germany,2003,2,0.0
Germany,2004,3,1.0
Germany,2005,3,2.0
Germany,2006,4,2.0
Germany,2007,3,1.0
Germany,2008,3,0.0
Germany,2009,4,0.0
Germany,2010,1,0.0
Germany,2011,8,2.0
Germany,2012,5,0.0
Germany,2014,13,0.0
Germany,2015,65,1.0
Germany,2016,44,27.0
Germany,2017,27,1.0
Argentina,1970,20,4.0
Argentina,1971,7,5.0
Argentina,1972,20,5.0
Argentina,1973,58,14.0
Argentina,1974,71,21.0
Argentina,1975,38,123.0
Argentina,1976,54,122.0
Argentina,1977,17,7.0
Argentina,1978,25,13.0
Argentina,1979,16,11.0
Argentina,1980,6,0.0
Argentina,1981,2,0.0
Argentina,1982,9,1.0
Argentina,1983,18,1.0
Argentina,1984,46,1.0
Argentina,1985,42,2.0
Argentina,1986,28,2.0
Argentina,1987,80,3.0
Argentina,1988,33,1.0
Argentina,1989,32,26.0
Argentina,1990,31,1.0
Argentina,1991,27,1.0
Argentina,1992,38,33.0
Argentina,1994,12,86.0
Argentina,1995,16,0.0
Argentina,1996,19,1.0
Argentina,1997,11,3.0
Argentina,1999,1,0.0
Argentina,2001,2,0.0
Argentina,2003,1,0.0
Argentina,2005,3,0.0
Argentina,2009,1,0.0
Argentina,2010,5,0.0
Argentina,2011,1,0.0
Argentina,2012,2,0.0
Argentina,2013,2,0.0
Argentina,2014,1,0.0
Argentina,2015,1,0.0
Argentina,2016,2,0.0
Argentina,2017,2,0.0
Pakistan,1970,1,4.0
Pakistan,1974,2,0.0
Pakistan,1975,2,1.0
Pakistan,1976,3,1.0
Pakistan,1978,2,5.0
Pakistan,1979,7,6.0
Pakistan,1980,1,17.0
Pakistan,1981,4,4.0
Pakistan,1982,4,3.0
Pakistan,1983,9,10.0
Pakistan,1984,3,12.0
Pakistan,1985,2,0.0
Pakistan,1986,22,56.0
Pakistan,1987,60,183.0
Pakistan,1988,43,134.0
Pakistan,1989,44,54.0
Pakistan,1990,87,188.0
Pakistan,1991,144,174.0
Pakistan,1992,83,152.0
Pakistan,1994,152,348.0
Pakistan,1995,665,709.0
Pakistan,1996,180,423.0
Pakistan,1997,205,439.0
Pakistan,1998,37,151.0
Pakistan,1999,38,122.0
Pakistan,2000,48,116.0
Pakistan,2001,52,108.0
Pakistan,2002,46,105.0
Pakistan,2003,29,119.0
Pakistan,2004,66,299.0
Pakistan,2005,76,151.0
Pakistan,2006,163,314.0
Pakistan,2007,258,1389.0
Pakistan,2008,566,1181.0
Pakistan,2009,666,1483.0
Pakistan,2010,713,1699.0
Pakistan,2011,1010,1655.0
Pakistan,2012,1654,2784.0
Pakistan,2013,2204,2875.0
Pakistan,2014,2144,2408.0
Pakistan,2015,1241,1608.0
Pakistan,2016,864,1113.0
Pakistan,2017,718,1076.0
