Country,Rank,C1,C2,C3,C4,C5,C6,Total
USA,1,42,42,38,36,35,34,227
CHN,1,42,42,39,35,35,34,227
KOR,3,42,40,38,36,35,35,226
PRK,4,37,33,32,29,28,28,187
THA,5,35,34,31,29,28,28,185
RUS,6,35,32,28,28,28,28,179
VNM,7,34,32,28,28,28,27,177
SGP,8,35,31,28,28,27,25,174
SRB,9,41,34,33,25,21,17,171
POL,10,42,28,27,25,23,23,168
HUN,11,40,28,27,25,23,22,165
UKR,11,31,30,29,29,26,20,165
JPN,13,34,34,28,25,21,20,162
IDN,14,32,28,27,27,25,21,160
ISR,15,34,28,26,25,22,21,156
IND,15,35,27,27,27,24,16,156
ROU,17,36,28,26,22,22,21,155
AUS,18,34,31,27,23,22,17,154
BGR,19,28,27,27,27,26,17,152
UNK,20,34,28,25,22,22,18,149
TWN,21,34,29,26,21,20,18,148
KAZ,22,28,28,23,23,22,22,146
IRN,23,32,28,24,22,21,18,145
CAN,24,32,28,22,22,22,18,144
FRA,25,30,28,22,21,21,20,142
MNG,26,32,28,23,23,21,14,141
ITA,27,28,28,21,21,21,21,140
PER,28,28,28,27,23,16,15,137
BRA,29,27,26,23,22,20,17,135
TUR,30,31,24,23,23,22,12,135
PHI,31,27,23,22,21,19,17,129
GER,32,38,23,19,19,15,12,126
SAU,33,26,23,23,23,22,7,124
NOR,34,28,22,21,20,16,15,122
BLR,35,28,24,22,19,16,10,119
EST,36,26,22,22,20,19,9,118
NLD,37,28,21,21,19,18,10,117
HKG,37,26,22,21,18,16,14,117
SVK,39,29,22,20,19,14,10,114
HEL,40,29,22,20,15,15,11,112
MEX,41,27,23,20,17,15,9,111
HRV,42,23,22,18,16,16,15,110
ESP,42,22,21,19,17,17,14,110
SVN,44,28,25,17,14,13,12,109
GEO,45,27,22,17,17,17,8,108
CZE,46,22,22,21,20,11,10,106
SAF,46,22,22,17,17,15,13,106
DEN,48,25,21,19,16,15,9,105
ARM,49,28,27,21,10,9,9,104
MDA,50,29,17,16,14,13,11,100
